time,position,velocity
3.71,0.9695843784545587,-1.147385756261507
3.72,0.9581105208919436,-1.1963933329689167
3.73,0.9461465875622544,-1.242849371226116
3.74,0.9337180938499933,-1.2866652636706088
3.75,0.9208514412132872,-1.327757818976705
3.7600000000000002,0.9075738630235202,-1.366049419382469
3.77,0.8939133688296955,-1.4014681668298976
3.7800000000000002,0.8798986871613965,-1.4339480174445964
3.79,0.8655592069869505,-1.463428904104967
3.8000000000000003,0.8509249179459009,-1.489856846875103
3.81,0.8360263494771498,-1.513184051100203
3.8200000000000003,0.8208945089661478,-1.533368992988281
3.83,0.805560819036265,-1.5503764925272288
3.84,0.7900570541109927,-1.5641777736118354
3.85,0.7744152763748744,-1.5747505112811155
3.86,0.7586677712620632,-1.5820788659922107
3.87,0.7428469826021411,-1.5861535048831414
3.88,0.7269854475533097,-1.5869716100027618
3.89,0.7111157314532821,-1.5845368735123326
3.9,0.6952703627181588,-1.578859479889157
3.91,0.6794817679192672,-1.569956075188634
3.92,0.6637822071673808,-1.5578497234468522
3.93,0.6482037099329123,-1.5425698503314091
3.94,0.6327780114295982,-1.5241521741734307
3.95,0.6175364896878639,-1.5026386245387797
3.96,0.6025101034424761,-1.4780772485210678
3.97,0.5877293309572654,-1.4505221049633308
3.98,0.5732241099076322,-1.4200331468390082
3.99,0.5590237784392421,-1.3866760920461547
4.0,0.5451570175187805,-1.3505222828915506
4.01,0.531651794689865,-1.3116485345635325
4.0200000000000005,0.5185353093442296,-1.2701369729138843
4.03,0.5058339396150908,-1.2260748618899737
4.04,0.49357319099619107,-1.1795544209784472
4.05,0.4817776467864066,-1.1306726330411774
4.0600000000000005,0.4704709204559948,-1.0795310429427372
4.07,0.4596756100265674,-1.0262355473864344
4.08,0.4494132545527031,-0.9708961763928351
4.09,0.43970429278877476,-0.9136268668707057
4.1,0.4305680241200677,-0.8545452287453822
4.11,0.4220225718326139,-0.7937723041236975
4.12,0.4140848487913769,-0.7314323199877436
4.13,0.40677052559149945,-0.6676524349218836
4.14,0.4000940012422806,-0.6025624803885431
4.15,0.3940683764383952,-0.5362946970783733
4.16,0.3887054294676115,-0.4689834668693801
4.17,0.38401559479891767,-0.400765040937526
4.18,0.3800079443895424,-0.33177726456813617
4.19,0.37669017174386105,-0.26215929922314724
4.2,0.3740685787516296,-0.19205134242383531
4.21,0.3721480653273912,-0.12159434601212409
4.22,0.37093212186727,-0.0509297333559154
4.23,0.37042282453371084,0.01980088393491365
4.24,0.37062083337305995,0.09045598921513094
4.25,0.3715253932652113,0.16089444336773284
4.26,0.3731343376988886,0.23097576616102722
4.2700000000000005,0.3754440953604989,0.300560415839064
4.28,0.3784496995188895,0.3695100663896876
4.29,0.3821448001827864,0.4376878819400146
4.3,0.38652167900218654,0.5049587877357594
4.3100000000000005,0.39157126687954413,0.571189737168525
4.32,0.3972831642512294,0.6362499743239288
4.33,0.40364566399446866,0.7000112915332283
4.34,0.4106457769098009,0.7623482814219149
4.3500000000000005,0.41826925972402007,0.8231385829605569
4.36,0.42650064555362566,0.8822631210359391
4.37,0.435323276763985,0.9396063390742683
4.38,0.4447193401547277,0.99505642426284
4.39,0.4546699043973561,1.0485055249320772
4.4,0.46515495964667686,1.099849959676211
4.41,0.476153459243439,1.148990417808059
4.42,0.4876433634215196,1.1958321507613072
4.43,0.49960168492913265,1.2402851540724151
4.44,0.5120045364698568,1.2822643395936646
4.45,0.5248271798657934,1.3216896976089514
4.46,0.5380440768418829,1.358486448544612
