time,position,velocity
0.0,0.0,0.0
0.01,0.0,503.50300000000004
0.02,5.035030000000001,504.49148500000007
0.03,10.07994485,-2030.1781855150002
0.04,-10.221837005150004,-4575.305865971975
0.05,-55.97489566486976,5638.760524737891
0.06,0.41270958250914447,28692.276921641067
0.07,287.33547879891984,357.2001659910893
0.08,290.9074804588307,-144137.56416601202
0.09,-1150.4681612012896,-146248.19982652224
0.1,-2612.9501594665116,579317.9460657457
0.11,3180.229301190945,1317082.2165753362
0.12,16351.051466944307,-1597538.0474752318
0.13,375.67099219198826,-8233870.5727046095
0.14,-81963.03473485411,-206409.86935887113
0.15,-84027.13342844282,41259241.3893386
0.16,328565.28046494315,42387943.71471109
0.17,752444.7176120541,-165303572.1478882
0.18,-900591.0038668282,-379128365.36291945
0.19,-4691874.657496023,452527175.0744567
0.2,-166602.90675145574,2362811100.6648397
0.21,23461508.099896945,88975425.94942999
0.22,24351262.359391246,-11810042282.489552
0.23,-93749160.46550427,-12283662697.927547
0.24,-216585787.44477975,47165616300.56058
0.25,255070375.560826,109128612595.73697
0.26,1346356501.5181959,-128163328480.94702
0.27,64723216.70872569,-678016460451.0776
0.28,-6715441387.802051,-34046935722.27063
0.29,-7055910745.024757,3380397140133.95
0.3,26748060656.314747,3559168229385.095
0.31,62339742950.165695,-13456949457317.91
0.32,-72229751623.01341,-31410159077329.836
0.33,-386331342396.31177,36291652653991.65
0.34,-23414815856.395264,194552928147527.22
0.35000000000000003,1922114465618.877,12207409355891.531
0.36,2044188559177.7922,-967542431066171.9
0.37,-7631235751483.927,-1031111527630435.9
0.38,-17942351027788.285,3839240844624074.0
0.39,20450057418452.457,9040260779886412.0
0.4,110852665217316.58,-1.0274760266378836e+16
0.41000000000000003,8105062553528.219,-5.582408782979602e+16
0.42,-550135815744432.0,-4200696469667872.0
0.43,-592142780441110.8,2.7692253332006544e+17
0.44,2177082552759543.8,2.986761916614587e+17
0.45,5163844469374131.0,-1.095270809684702e+18
0.46,-5788863627472889.0,-2.601784202164319e+18
0.47000000000000003,-3.180670564911608e+16,2.9084170947887974e+18
0.48,-2722534701228104.0,1.6017393999050097e+19
0.49,1.5745140528927286e+17,1.4051246862162145e+18
0.5,1.71502652151435e+17,-7.925606633954168e+19
0.51,-6.210580112439818e+17,-8.65037038426616e+19
0.52,-1.4860950496705976e+18,3.1244593353278076e+20
0.53,1.6383642856572099e+18,7.487576018604303e+20
0.54,9.125940304261513e+18,-8.23113443730807e+20
0.55,8.948058669534423e+17,-4.5956661272202246e+21
0.56,-4.506185540524881e+19,-4.603714197792993e+20
0.5700000000000001,-4.96655696030418e+19,2.2682589397717657e+22
0.58,1.771603243741348e+20,2.5050084241743358e+22
0.59,4.276611667915684e+20,-8.91261671752268e+22
0.6,-4.636005049606997e+20,-2.154720975714438e+23
0.61,-2.6183214806751374e+21,2.3290489158899428e+23
0.62,-2.8927256478519447e+20,1.318534498261729e+24
0.63,1.2896072417832096e+22,1.4846730281940013e+23
0.64,1.4380745446026098e+22,-6.491403520164067e+24
0.65,-5.053328975561457e+22,-7.253126976958808e+24
0.66,-1.2306455952520265e+23,2.5422154425042933e+25
0.67,1.3115698472522669e+23,6.200415846885747e+25
0.68,7.511985694138014e+23,-6.588874554781153e+25
0.6900000000000001,9.231111393568601e+22,-3.782866085640569e+26
0.7000000000000001,-3.690554971704883e+24,-4.728624427549668e+25
0.71,-4.1634174144598497e+24,1.8576778228460683e+27
0.72,1.4413360814000834e+25,2.099830043235386e+27
0.73,3.54116612463547e+25,-7.25096847478997e+27
0.74,-3.7098023501544997e+25,-1.7841474218712002e+28
0.75,-2.15512765688665e+26,1.8636111315375305e+28
0.76,-2.915165253491196e+25,1.0852677725157302e+29
0.77,1.0561161199808182e+27,1.490924963525732e+28
0.78,1.2052086163333915e+27,-5.31603652353382e+29
0.79,-4.1108279072004286e+27,-6.0783670036321786e+29
0.8,-1.0189194910832607e+28,2.0680259907786352e+30
0.81,1.0491064996953744e+28,5.133587297311767e+30
0.8200000000000001,6.182693797007142e+28,-5.269973067260056e+30
0.8300000000000001,9.127207297470866e+27,-3.1134316786191815e+31
0.84,-3.022159605644473e+29,-4.661845314870327e+30
0.85,-3.4883441371315055e+29,1.5212172444593794e+32
0.86,1.1723828307462289e+30,1.7592789193591122e+32
0.87,2.931661750105341e+30,-5.897827194441528e+32
0.88,-2.966165444336188e+30,-1.4770378143121257e+33
0.89,-1.7736543587457446e+31,1.4899374995908838e+33
0.9,-2.837168591548607e+30,8.931579982210241e+33
0.91,8.64786312305538e+31,1.447508444421957e+33
0.92,1.0095371567477336e+32,-4.352915146402743e+34
0.93,-3.3433779896550095e+32,-5.091298354913937e+34
0.9400000000000001,-8.434676344568945e+32,1.681914555345231e+35
0.9500000000000001,8.384469208883367e+32,4.249549306589993e+35
0.96,5.08799622747833e+33,-4.211450147504648e+35
0.97,8.76546079973682e+32,-2.5621454775476692e+36
0.98,-2.4744908695503007e+34,-4.467826200907894e+35
0.99,-2.92127348964109e+34,1.2455317208982628e+37
1.0,9.53404371934154e+34,1.473226406415424e+37
1.01,2.426630778349578e+35,-4.796135040115205e+37
1.02,-2.3695042617656272e+35,-1.2225732056553292e+38
1.03,-1.459523631831892e+36,1.1901358091315963e+38
1.04,-2.6938782270029555e+35,7.349636208176176e+38
1.05,7.080248385475881e+36,1.3719572237968481e+38
1.06,8.452205609272729e+36,-3.5638134671829385e+39
1.07,-2.7185929062556658e+37,-4.2624425212305814e+39
1.08,-6.981035427486248e+37,1.3675846360410907e+40
